group,function,value,sample_time_nanos,iteration_count
Prefetch,,32,1093281,3
Prefetch,,32,2162432,6
Prefetch,,32,4286828,9
Prefetch,,32,4356340,12
Prefetch,,32,5430650,15
Prefetch,,32,6455387,18
Prefetch,,32,7597475,21
Prefetch,,32,8584029,24
Prefetch,,32,9730777,27
Prefetch,,32,10790272,30
Prefetch,,32,11950167,33
Prefetch,,32,12927535,36
Prefetch,,32,14103215,39
Prefetch,,32,15055712,42
Prefetch,,32,16243515,45
Prefetch,,32,17298169,48
Prefetch,,32,18411241,51
Prefetch,,32,19494228,54
Prefetch,,32,20603528,57
Prefetch,,32,21623041,60
Prefetch,,32,22794174,63
Prefetch,,32,23917030,66
Prefetch,,32,24865960,69
Prefetch,,32,25962974,72
Prefetch,,32,27093476,75
Prefetch,,32,28113575,78
Prefetch,,32,29350723,81
Prefetch,,32,30413677,84
Prefetch,,32,32520963,87
Prefetch,,32,32452469,90
Prefetch,,32,33626232,93
Prefetch,,32,34595004,96
Prefetch,,32,35679021,99
Prefetch,,32,36831164,102
Prefetch,,32,37862754,105
Prefetch,,32,39079527,108
Prefetch,,32,40033794,111
Prefetch,,32,41155709,114
Prefetch,,32,42252657,117
Prefetch,,32,43146605,120
Prefetch,,32,44514800,123
Prefetch,,32,46285471,126
Prefetch,,32,46522154,129
Prefetch,,32,47724180,132
Prefetch,,32,48773418,135
Prefetch,,32,49842186,138
Prefetch,,32,50830819,141
Prefetch,,32,51999610,144
Prefetch,,32,52979864,147
Prefetch,,32,54373832,150
Prefetch,,32,56520533,153
Prefetch,,32,56266084,156
Prefetch,,32,57214480,159
Prefetch,,32,58337155,162
Prefetch,,32,59663651,165
Prefetch,,32,60504446,168
Prefetch,,32,61746433,171
Prefetch,,32,62732391,174
Prefetch,,32,64923922,177
Prefetch,,32,64844801,180
Prefetch,,32,66022487,183
Prefetch,,32,67127852,186
Prefetch,,32,68217983,189
Prefetch,,32,69250411,192
Prefetch,,32,70243592,195
Prefetch,,32,72411411,198
Prefetch,,32,72607877,201
Prefetch,,32,73443568,204
Prefetch,,32,74742467,207
Prefetch,,32,75664753,210
Prefetch,,32,76943569,213
Prefetch,,32,78985966,216
Prefetch,,32,79038867,219
Prefetch,,32,80151363,222
Prefetch,,32,81111939,225
Prefetch,,32,82333020,228
Prefetch,,32,83407497,231
Prefetch,,32,85516683,234
Prefetch,,32,85620432,237
Prefetch,,32,86550854,240
Prefetch,,32,87769338,243
Prefetch,,32,88867568,246
Prefetch,,32,91393902,249
Prefetch,,32,90991184,252
Prefetch,,32,92018336,255
Prefetch,,32,93076563,258
Prefetch,,32,94024257,261
Prefetch,,32,96154433,264
Prefetch,,32,96492678,267
Prefetch,,32,97495367,270
Prefetch,,32,98576340,273
Prefetch,,32,99577836,276
Prefetch,,32,101545518,279
Prefetch,,32,101963899,282
Prefetch,,32,102958605,285
Prefetch,,32,103965379,288
Prefetch,,32,106005620,291
Prefetch,,32,106148543,294
Prefetch,,32,107258577,297
Prefetch,,32,108250845,300
