group,function,value,sample_time_nanos,iteration_count
Prefetch,,7,880212,25
Prefetch,,7,1751139,50
Prefetch,,7,2661353,75
Prefetch,,7,3493601,100
Prefetch,,7,4411924,125
Prefetch,,7,5293416,150
Prefetch,,7,6375611,175
Prefetch,,7,7144202,200
Prefetch,,7,8212195,225
Prefetch,,7,9071342,250
Prefetch,,7,9633731,275
Prefetch,,7,10576822,300
Prefetch,,7,11413617,325
Prefetch,,7,12331810,350
Prefetch,,7,13206213,375
Prefetch,,7,14066122,400
Prefetch,,7,16425571,425
Prefetch,,7,15939702,450
Prefetch,,7,16632646,475
Prefetch,,7,17483321,500
Prefetch,,7,18372647,525
Prefetch,,7,19246355,550
Prefetch,,7,20128983,575
Prefetch,,7,20999215,600
Prefetch,,7,21998295,625
Prefetch,,7,22916725,650
Prefetch,,7,25932683,675
Prefetch,,7,25664205,700
Prefetch,,7,26564544,725
Prefetch,,7,27047928,750
Prefetch,,7,27413436,775
Prefetch,,7,28122126,800
Prefetch,,7,29675842,825
Prefetch,,7,32087589,850
Prefetch,,7,31444774,875
Prefetch,,7,32764541,900
Prefetch,,7,32580094,925
Prefetch,,7,33395053,950
Prefetch,,7,34168266,975
Prefetch,,7,34897486,1000
Prefetch,,7,35736544,1025
Prefetch,,7,36651459,1050
Prefetch,,7,37564920,1075
Prefetch,,7,38540936,1100
Prefetch,,7,39332787,1125
Prefetch,,7,40165068,1150
Prefetch,,7,40989296,1175
Prefetch,,7,41877966,1200
Prefetch,,7,42786816,1225
Prefetch,,7,43709779,1250
Prefetch,,7,44566427,1275
Prefetch,,7,45472479,1300
Prefetch,,7,46242102,1325
Prefetch,,7,47196828,1350
Prefetch,,7,48567931,1375
Prefetch,,7,49171167,1400
Prefetch,,7,49743415,1425
Prefetch,,7,50605799,1450
Prefetch,,7,52483262,1475
Prefetch,,7,53923258,1500
Prefetch,,7,53553145,1525
Prefetch,,7,54803702,1550
Prefetch,,7,55205818,1575
Prefetch,,7,55663601,1600
Prefetch,,7,56550216,1625
Prefetch,,7,57469650,1650
Prefetch,,7,58471190,1675
Prefetch,,7,59800039,1700
Prefetch,,7,60017923,1725
Prefetch,,7,60925116,1750
Prefetch,,7,62976737,1775
Prefetch,,7,64665636,1800
Prefetch,,7,64293394,1825
Prefetch,,7,67052790,1850
Prefetch,,7,68134896,1875
Prefetch,,7,68490952,1900
Prefetch,,7,68286261,1925
Prefetch,,7,69337427,1950
Prefetch,,7,69895617,1975
Prefetch,,7,70107775,2000
Prefetch,,7,71440144,2025
Prefetch,,7,73324305,2050
Prefetch,,7,73488124,2075
Prefetch,,7,74379681,2100
Prefetch,,7,75583474,2125
Prefetch,,7,76639357,2150
Prefetch,,7,75853733,2175
Prefetch,,7,76801830,2200
Prefetch,,7,77436067,2225
Prefetch,,7,79608511,2250
Prefetch,,7,79504378,2275
Prefetch,,7,80084012,2300
Prefetch,,7,81117354,2325
Prefetch,,7,82054507,2350
Prefetch,,7,83127775,2375
Prefetch,,7,83793860,2400
Prefetch,,7,84902186,2425
Prefetch,,7,85247229,2450
Prefetch,,7,86330237,2475
Prefetch,,7,86999563,2500
